,PartID,ItemID,SequenceOrder,Title,Date,StartPageID,SegmentUrl,CreatorName,NameConfirmedFromPage,MatchedNames,Confidences,best_match,has_best_match
57,25145,14673.0,21,"Cypringlea, a new genus of Cyperaceae from Mexico",2003,643293,https://www.biodiversitylibrary.org/part/25145,"Strong, M T",Carex | Scirpus | Trichophorum | Scirpus coahuilensis | Scirpus analecta | Cyperaceae | Cyperoideae | Cypringlea | Scirpeae | Cyperaceae,"['Cypringlea M.T.Strong', 'Cyperaceae', 'Cyperaceae', 'Scirpus coahuilensis Svenson', 'Scirpus analecta Beetle']","[97, 96, 96, 83, 83]",,False
58,25146,14673.0,22,Two new winged species of Symbolanthus (Gentianaceae: Helieae) from Colombia,2003,643303,https://www.biodiversitylibrary.org/part/25146,"Struwe, L",Chelonanthus | Helieae | Gentianaceae | Irlbachia | Symbolanthus | Symbolanthus calygonus | Tachia | Symbolanthus | Symbolanthus tetrapterus | Macrocarpaea | Andes | Symbolanthus pterocalyx,"['Symbolanthus tetrapterus Struwe', 'Symbolanthus pterocalyx Struwe', 'Gentianaceae', 'Symbolanthus G.Don']","[100, 100, 96, 94]",Symbolanthus tetrapterus Struwe,True
59,25156,14673.0,44,Rubiacearum Americanarum Magna Hama Pars XIV. New species of Malanea (Guettardeae) from western South America,2003,643393,https://www.biodiversitylibrary.org/part/25156,"Taylor, Charlotte M. (Charlotte Morley)",Chomelia stergiosii | Chomelia | Guettarda | Hippotideae | Hippotis | Flora | Guayana | Joosia | Malanea campylocarpa | Malanea | Nica | Randia altiscandens | Sommera | Uncaria guianensis | Malanea | Cinchoneae | Rubiaceae | Gardenieae | Naucleeae | Guettardeae,"['Malanea campylocarpa C.M.Taylor', 'Randia altiscandens (Ducke) C.M.Taylor', 'Rubiaceae', 'Uncaria Schreb.', 'Guettardia Michelin, 1847', 'Floria Turnsek & Mihajlovic, 1981', 'Niea T.Liu, K.N.Mertens & H.Gu, 2015', 'Chomelia stergiosii Steyerm.']","[100, 100, 96, 92, 88, 88, 85, 84]",Malanea campylocarpa C.M.Taylor,True
60,25172,14673.0,70,"Transberingia, a new generic name replacing the illegitimate Beringia (Brassicaceae)",2003,643566,https://www.biodiversitylibrary.org/part/25172,"Al-Shehbaz, Ihsan A., (Ihsan Ali) 1939- | O'Kane, Steve L",Arabidopsis | Basionym | Brassica | Brassicaceae | Flora | Nasturtium bursifolium | Rhodophyta | Transberingia bursifolia virgata | Plantae | Transberingia | Cryptonemiales | Sisymbrium virgatum | Orientis | Transberingia bursifolia,"[""Transberingia bursifolia subsp. virgata (Nutt.) Al-Shehbaz & O'Kane"", ""Transberingia bursifolia (DC.) Al-Shehbaz & O'Kane"", ""Transberingia Al-Shehbaz & O'Kane"", 'Brassicaceae', 'Rhodophyta', 'Plantae', 'Cryptonemiales', 'Orientia Tamura et al., 1995', 'Nasturtium bursifolium DC.', 'Sisymbrium virgatum Nutt.']","[100, 100, 97, 96, 96, 94, 94, 89, 83, 83]",Transberingia bursifolia subsp. virgata (Nutt.) Al-Shehbaz & O'Kane,True
61,25174,14673.0,73,Nomenclatural novelties in the Orchidaceae from Venezuela and Guyana,2003,643575,https://www.biodiversitylibrary.org/part/25174,"Ramírez-Morillo, Ivón M. | Carnevali Fernández-Concha, Germán",Flora | Epidendrum | Guayana | Liparis | Pleurothallis loreae | Pleurothallis | Tachira | Orchidaceae | Epidendrum cesar-fernandezii | Orchidaceae | Merida | Epidendrum ibaguense | Liparis nervosa,"['Orchidaceae', 'Orchidaceae', 'Tachina Meigen, 1803', 'Menida Motschoulsky, 1862', 'Floria Turnsek & Mihajlovic, 1981', 'Pleurothallis loreae Carnevali & I.Ramírez', 'Epidendrum cesar-fernandezii Carnevali & I.Ramírez', 'Epidendrum ibaguense Kunth']","[96, 96, 89, 89, 88, 84, 84, 84]",,False
62,16523,14665.0,4,New combinations in neotropical Grammitidaceae (Pteridophyta),1995,651550,https://www.biodiversitylibrary.org/part/16523,"Smith, Alan R., 1943-",Basionym | Ceradenia phalacron | Ceradenia | Ceradenia oidiophora | Grammitidaceae | Grammitis hombersleyi | Grammitis phalacron | Grammitis | Grammitis ciliolepis | Grammitis dissimulans | Lellingeria | Lellingeria hombersleyi | Lellingeria ciliolepis | Lellingeria dissimulans | Melpomene | Polypodium ciliolepis | Terpsichore bipinnata | Urubamba | Terpsichore | Pteridophyta | Melpomene gracilis | Polypodium | Ctenopteris ciliolepis | Ctenopteris dissimulans,"['Ceradenia phalacron (Stolze) A.R.Sm.', 'Ceradenia oidiophora (Mickel & Beitel) A.R.Sm.', 'Lellingeria hombersleyi (Maxon) A.R.Sm.', 'Lellingeria ciliolepis (C.Chr.) A.R.Sm.', 'Lellingeria dissimulans (Maxon) A.R.Sm.', 'Terpsichore bipinnata (Stolze) A.R.Sm.', 'Melpomene gracilis (Hook.) A.R.Sm.', 'Lellingeria A.R.Sm. & R.C.Moran', 'Melpomene A.R.Sm. & R.C.Moran', 'Terpsichore A.R.Sm.', 'Grammitidaceae', 'Pteridophyta', 'Grammitis', 'Grammitis Sw.', 'Grammitis Sw.', 'Grammitis Sw.', 'Tracheophyta', 'Tracheophyta', 'Polycodium Raf.', 'Grammitis phalacron Stolze', 'Polypodium ciliolepis C.Chr.']","[100, 100, 100, 100, 100, 100, 100, 98, 98, 98, 96, 96, 94, 92, 92, 92, 92, 92, 88, 83, 83]",Ceradenia phalacron (Stolze) A.R.Sm.,True
63,16530,14665.0,12,"A new species of Beilschmiedia (Lauraceae) from Guerrero, Mexico",1995,651575,https://www.biodiversitylibrary.org/part/16530,"Lorea, F G",Beilschmiedia | Beilschmiedia angustielliptica | Lauraceae | Medetera subgen. Lorea | Miranda | Plantas,"['Lauraceae', 'Medetera Fischer von Waldheim, 1819', 'Beilschmiedia angustielliptica Lorea-Hern.']","[96, 95, 84]",,False
64,16535,14665.0,19,Two Lesquerellas (Cruciferae) of south central and western Montana,1995,651601,https://www.biodiversitylibrary.org/part/16535,"Rollins, Reed C. (Reed Clark), 1911-1998",Cruciferae | Lesquerella | Astragalus aretioides | Lesquerella lesicii,"['Lesquerella lesicii Rollins', 'Lesquerella Chardez & Thomas, 1980', 'Cruciferae']","[100, 98, 94]",Lesquerella lesicii Rollins,True
65,16541,14665.0,26,"Justicia nevlingii (Acanthaceae), a new species from Mexico",1995,651644,https://www.biodiversitylibrary.org/part/16541,"Wasshausen, Dieter C. | Daniel, Thomas Franklin",Acanthaceae | Calyx | Folia | Justicia | Justicia nevlingii | Capsula,"['Justicia nevlingii Wassh. & T.F.Daniel', 'Acanthaceae', 'Calx K.Christiansen, 1958', 'Foxia Castellani, 1908']","[100, 96, 89, 86]",Justicia nevlingii Wassh. & T.F.Daniel,True
66,16544,14665.0,31,"Festuca diclina (Poaceae), a new species from northwestern Mexico",1995,651659,https://www.biodiversitylibrary.org/part/16544,"Darbyshire, S. J.",Festuca diclina | Festuca | Plantae | Poaceae | Poaceae,"['Festuca diclina Darbysh.', 'Poaceae', 'Poaceae', 'Plantae']","[100, 96, 96, 94]",Festuca diclina Darbysh.,True
67,16552,14665.0,39,"Una especie nueva de Rhamnus (Rhamnaceae) del Cerro Salomón, Sierra Atravesada, Oaxaca, México",1995,651697,https://www.biodiversitylibrary.org/part/16552,"Ishiki-Ishihara, Mario",Figura | Frangula | Rhamnaceae | Rhamnus wendtii | Rhamnus,"['Rhamnus wendtii Ishiki', 'Rhamnaceae']","[100, 96]",Rhamnus wendtii Ishiki,True
68,16553,14665.0,40,New species and combinations in Millettia Wight & Arnott and Pongamiopsis R. Viguier (Leguminosae-Papilionoideae-Millettieae) from Madagascar,1995,651701,https://www.biodiversitylibrary.org/part/16553,"Du Puy, David J . | Labat, Jean-Noël, 1959-2011",Hesperothamnus | Neodunnia | Papilionoideae | Millettia | Pongamiopsis | Millettia capuronii | Millettieae,['Millettia capuronii Du Puy & Labat'],[100],Millettia capuronii Du Puy & Labat,True
69,16554,14665.0,41,"Another new, nearly extinct species of Hibiscadelphus (Malvaceae) from the Hawaiian Islands",1995,651978,https://www.biodiversitylibrary.org/part/16554,"Lorence, D H | Wagner, Warren Lambert",Hibiscadelphus | Hibiscus | Hibiscadelphus woodii | Hibiscus tiliaceus | Hibisceae | Malvaceae,"['Hibiscadelphus woodii Lorence & W.L.Wagner', 'Malvaceae']","[100, 96]",Hibiscadelphus woodii Lorence & W.L.Wagner,True
70,16559,14665.0,46,Novelties and notes in North American Aristida (Gramineae),1995,651737,https://www.biodiversitylibrary.org/part/16559,"Valdés-Reyna, Jesús. | Allred, Kelly W. (Kelly Wayne)",Aristida petersonii | Arundinoideae | Aristideae | Americanae | Gramineae | Pinus | Quercus | Aristida,"['Aristida petersonii Allred & Valdés-Reyna', 'Gramineae']","[100, 92]",Aristida petersonii Allred & Valdés-Reyna,True
71,16563,14665.0,50,"Paspalum morichalense (Poaceae: Paniceae), a new aquatic species from South America",1995,651762,https://www.biodiversitylibrary.org/part/16563,"Filgueiras, Tarciso, 1950- | Zuloaga, Fernando O. | Davidse, Gerrit",Antherae | Brasilia | Geranium sect. Dissecta | Folia | Gramen | Paspalum | Paspalum morichalense | Paspalum lacustre | Paniceae | Folia | Poaceae | Mauritia flexuosa | Poaceae | Paspalum commutatum,"['Paspalum morichalense Davidse, Zuloaga & Filg.', 'Poaceae', 'Poaceae', 'Geranium Tourn. ex L.', 'Paspalum L.', 'Mauritia flexuosa L.f.', 'Paspalum commutatum Nees']","[100, 96, 96, 95, 94, 84, 83]","Paspalum morichalense Davidse, Zuloaga & Filg.",True
72,16565,14665.0,52,Dos especies nuevas del género Drosera (Droseraceae) in Venezuela y otros comentarios taxonómicos,1995,651769,https://www.biodiversitylibrary.org/part/16565,"Culham, Alastair, 1965- | Duno de Stefano, Rodrigo",Drosera roraimae | Droseraceae | Figura | Drosera | Genero | Guayana | Planta | Drosera hirticalyx | Drosera esmeraldae | Correa | Drosera colombiana | Inflorescentia,"['Drosera hirticalyx R.Duno & Culham', 'Droseraceae', 'Drosera L.', 'Drosera L.', 'Drosera L.', 'Plata Amaro, 1966']","[100, 96, 94, 94, 94, 83]",Drosera hirticalyx R.Duno & Culham,True
73,16568,14665.0,55,"Aureliana darcyi, a new species of Solanaceae from Brazil",1995,651785,https://www.biodiversitylibrary.org/part/16568,"Bovini, Massimo G. | Carvalho, Lúcia d'Ávila Freire de",Almas | Aureliana darcyi | Aureliana | Bacca | Folia | Solanaceae | Toca | Bovini | Calyx | Flos,"['Aureliana darcyi Carvalho & Bovini', 'Solanaceae', 'Aureliana', 'Alma Grube, 1855', 'Flor Grishin, 2022', 'Animalia']","[100, 96, 94, 89, 88, 86]",Aureliana darcyi Carvalho & Bovini,True
74,16571,14665.0,58,"A new Rhynchospora (Cyperaceae) from the Cordillera de Talamanca, Costa Rica",1995,651798,https://www.biodiversitylibrary.org/part/16571,"Gómez-Laurito, Jorge",Cabecar | Clusia | Clusiaceae | Cousinia sect. Racemosae | Rhynchospora | Cyperaceae | Rhynchospora cabecarae | Sphagnum | Cyperaceae,"['Rhynchospora cabecarae Gómez-Laur.', 'Clusiaceae', 'Cyperaceae', 'Cyperaceae', 'Cousinia Cass.']","[100, 96, 96, 96, 95]",Rhynchospora cabecarae Gómez-Laur.,True
75,16572,14665.0,59,"Two new species in Cuphea (Lythraceae), and a note on Alzateaceae",1995,651800,https://www.biodiversitylibrary.org/part/16572,"Graham, Shirley A. (Shirley Ann), 1935-",Alzatea verticillata amplifolia | Alzateaceae | Cuphea | Cuphea alaniana | Diplommatina subgen. Diploptychia | Lythraceae | Polyspermum | Ovula | Adama | Mexia | Alzatea verticillata | Cuphea armata | Discus | Melvilla,"['Alzatea verticillata subsp. amplifolia S.A.Graham', 'Cuphea alaniana S.A.Graham', 'Cuphea armata S.A.Graham', 'Discus Albers, 1850', 'Melvilla A.Anderson', 'Alzateaceae', 'Lythraceae', 'Diplommatina W.H.Benson, 1849', 'Cuphea', 'Abama Adans.', 'Animalia', 'Alzatea verticillata Ruiz & Pav.']","[100, 100, 100, 97, 97, 96, 96, 95, 92, 86, 86, 84]",Alzatea verticillata subsp. amplifolia S.A.Graham,True
76,16574,14665.0,61,New taxa and combinations in the tribe Juanulloeae (Solanaceae),1995,651809,https://www.biodiversitylibrary.org/part/16574,"Knapp, Sandra",Cundinamarca | Juanulloa | Juanulloeae | Solanaceae | Trianaea naeka | Trianaea | Trianaea brevipes | Trianaea nobilis | Basionym | Schultesianthus | Trianaea spectabilis,"['Trianaea naeka S.Knapp', 'Trianaea brevipes (Cuatrec.) S.Knapp', 'Solanaceae', 'Trianaea nobilis Planch. & Linden', 'Trianaea spectabilis Cuatrec.']","[100, 100, 96, 84, 83]",Trianaea naeka S.Knapp,True
77,16582,14665.0,70,New species of Cestrum (Solanaceae) and synonymy under two widespread species,1995,651839,https://www.biodiversitylibrary.org/part/16582,"Benítez de Rojas, Carmen E. | D'Arcy, William G., 1931-1999",Aragua | Cestrum | Cestrum tomentosum | Cestrum jaramillanum | Inflorescentia | Patricia | Pilar | Solanaceae | Zulia | Merida,"[""Cestrum jaramillanum Benítez & D' Arcy"", 'Cestrum L.']","[100, 94]",Cestrum jaramillanum Benítez & D' Arcy,True
78,16588,14665.0,78,A new species of Geonoma (Arecaceae) from Panama,1995,651882,https://www.biodiversitylibrary.org/part/16588,"De Nevers, Gregory | Grayum, Michael Howard, 1949-",Geonoma concinna | Geonoma scoparia | Geonoma | Arecaceae | Geonoma mooreana | Geonomeae | Arecoideae,"['Geonoma scoparia Grayum & de Nevers', 'Geonoma mooreana de Nevers & Grayum', 'Arecaceae', 'Geonoma concinna Burret']","[100, 100, 96, 84]",Geonoma scoparia Grayum & de Nevers,True
79,16590,14665.0,80,New Andean Zanthoxylum (Rutaceae) with distinctive vegetative characters,1995,651890,https://www.biodiversitylibrary.org/part/16590,"Reynel, C",Fagara | Rutaceae | Zanthoxylum gentryi | Valle | Zanthoxylum,"['Zanthoxylum gentryi Reynel', 'Rutaceae']","[100, 96]",Zanthoxylum gentryi Reynel,True
80,16592,14665.0,82,Three new species of Clavija (Theophrastaceae),1995,651898,https://www.biodiversitylibrary.org/part/16592,"Ståhl, B",Arbor | Calyx | Clavija subandina | Clavija eggersii | Clavija eggersiana | Clavija | Folia | Fructus | Napo | Ovula | Theophrastaceae | Clavija laplanadae,"['Clavija subandina B.Stahl', 'Clavija laplanadae B.Stahl', 'Theophrastaceae', 'Clavija Ruiz & Pav.', 'Clavija eggersiana Mez']","[100, 100, 96, 94, 84]",Clavija subandina B.Stahl,True
